"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1799614503744897056","Sun Jun 09 01:28:27 +0000 2024","6","Teknologi robotic dan AI sdh mulai dterapkan di Tiongkok sjk bbrp tahun yl...mhemat tenaga kerja up to 70% krja 24 jam shari...anti cuti dan demo tiap tahun minta knaikan gaji kek Wakanda.... Kiblat teknologi skrg di Asia bukan lg di Europe https://t.co/H7bzaMPoRV","1799614503744897056","https://pbs.twimg.com/ext_tw_video_thumb/1799614453773971457/pu/img/oIywKRAq6XJPPrbS.jpg","","in","Blue Earth","0","1","3","https://x.com/Mun4fikunn/status/1799614503744897056","311528552","Mun4fikunn"
"1719687148201541695","Wed Nov 01 12:05:41 +0000 2023","9749"," sedih sekarang pekerja seni bener2 udh diganti sama teknologi ai ini keliatan banget pake ai nya mungkin tujuannya baik buat Palest*ne sih.. tapi gak pake AI juga https://t.co/60grro5olh","1719687148201541695","https://pbs.twimg.com/media/F92OWEUaAAA2R2o.jpg","","in","Indonesia","1186","539","700","https://x.com/tanyakanrl/status/1719687148201541695","1331650559518990336","tanyakanrl"
"1798988985781629240","Fri Jun 07 08:04:01 +0000 2024","17","Ask Photos yang didukung oleh teknologi AI ini dapat mempermudah untuk mencari foto zaman dulu loh Sahabat! #IndosatOoredooHutchison #IOH #EmpoweringIndonesia https://t.co/BjjeHqnL5J","1798989276988015047","https://pbs.twimg.com/media/GPdLNoeaoAAUHW4.jpg","indosat","in","Indonesia","0","1","4","https://x.com/indosat/status/1798989276988015047","982557721575608320","indosat"
"1797871487480942663","Tue Jun 04 06:02:20 +0000 2024","78","Perkembangan teknologi AI tak bisa kita bendung. Sudah saatnya kita melihatnya sebagai peluang dan alat dalam mempermudah pekerjaan kita alih-alih sebagai suatu ancaman [utas] https://t.co/rWlJHzLZcf","1797871487480942663","https://pbs.twimg.com/media/GPNSkzsacAAt_so.jpg","","in","Jakarta Capital Region","3","8","17","https://x.com/ArsjadRasjid/status/1797871487480942663","1368468269829554177","ArsjadRasjid"
"1798528340363751564","Thu Jun 06 01:32:26 +0000 2024","10","Pemanfaatan teknologi AI diyakini lebih efektif dalam memberantas judi online. #DukungKominfoBerantasJudol https://t.co/uECyjVbdYr","1798528340363751564","https://pbs.twimg.com/media/GPWn_nWagAAI-7T.jpg","","in","Makassar, Indonesia","2","3","9","https://x.com/_abproject/status/1798528340363751564","1317427230687907840","_abproject"
"1798520465532789045","Thu Jun 06 01:01:08 +0000 2024","11","Google kan punya teknologi canggih yang bernama artificial intelegence (AI). Semoga AI ini dapat menelusuri hingga pihak owner judi online. Di saat itulah Kemenkominfo men-take down websitenya memblokir rekeningnya dan mempolisikan owner-nya. #DukungKominfoBerantasJudol https://t.co/y9NCkTFmme","1798520465532789045","https://pbs.twimg.com/media/GPWg1EYaYAABi1n.jpg","","in","@picknava","1","3","11","https://x.com/Rumahsinggah78/status/1798520465532789045","1679312837330739201","Rumahsinggah78"
"1798643984350556438","Thu Jun 06 09:11:57 +0000 2024","5","Google kan punya teknologi canggih yang bernama artificial intelegence (AI). Semoga AI ini dapat menelusuri hingga pihak owner judi online. Di saat itulah Kemenkominfo men-take down websitenya memblokir rekeningnya dan mempolisikan owner-nya. #DukungKominfoBerantasJudol https://t.co/Z0o7e1cS9x","1798643984350556438","https://pbs.twimg.com/media/GPYRK9xbgAA862t.jpg","","in","","0","1","5","https://x.com/Rohayat91/status/1798643984350556438","1497267560987127810","Rohayat91"
"1795443944177701274","Tue May 28 13:16:08 +0000 2024","8","Day 28 #MayLearnings Apa teknologi atau tren baru yang menurutmu akan berpengaruh pada bidangmu dalam lima tahun ke depan? Di industri kreatif teknologi AI saat ini benar-benar membumi sehingga orang awam bisa membuat konten sendiri dengan mudah murah dan cepat. Di dunia https://t.co/KNdzOWF5fV","1795443944177701274","https://pbs.twimg.com/media/GOqwg_vbIAM3ApW.jpg","","in","Jakarta Capital Region","1","0","1","https://x.com/RidhaIntifadha/status/1795443944177701274","271922617","RidhaIntifadha"
"1799068029415989671","Fri Jun 07 13:16:57 +0000 2024","6140"," Menurut saya ini tidak ilmiah BADUTTTTT LO SEMUA 1 INSTITUSI KEMENTRIAN BODO AMAT ADA BERAPA PROFESOR DI SANA TAPI KAPTENNYA BISA SAMPE NGOMONG GINI BAAADUUUTTTTT BUBAR GA LO DETIK INI JUGA @KemenkesRI https://t.co/hBrNEwwNge https://t.co/ATbbUBpqwM","1799068029415989671","https://pbs.twimg.com/media/GPeS1dNaIAIBNcQ.jpg","","in","Jakarta Capital Region","1200","267","1651","https://x.com/hadinabd/status/1799068029415989671","92229962","hadinabd"
"1798988301392900585","Fri Jun 07 08:00:09 +0000 2024","2","Beberapa insiden ini yang melibatkan tokoh awam terkenal dalam video deepfake seharusnya diambil iktibar. Justeru kewujudan kerangka pengawalseliaan penggunaan AI adalah penting bagi menyekat penyebaran maklumat palsu penyalahgunaan teknologi dan melindungi pengguna ️ https://t.co/rPrVdr34OJ","1798988301392900585","https://pbs.twimg.com/media/GPdKUldbcAAC_fm.jpg","","in","Malaysia","0","0","1","https://x.com/mycontentforum/status/1798988301392900585","1214467884","mycontentforum"
